"Participant","Trial_Order","Wrist_Angle","Exploratory_Kinematics","Object","Mass","Torque","LogI1","LogI3","Trial","EMG_FCR","EMG_FCU","EMG_ECR","EMG_ECU","Hperceived","Lperceived"
"P5",101,"Radial",1,"Object 1",236,5791800,5.186108,3.507856,2,0.865766938820131,0.982393174767764,3.98939473575268,5.66421590542678,110,42
"P5",108,"Radial",1,"Object 4",165,7298550,5.507546,2.819544,1,1.16341073364467,1.19993442131088,3.78952156138737,10.5038669638683,120,38.7
"P5",105,"Radial",1,"Object 4",165,7298550,5.507546,2.819544,2,1.10901731046731,1.03684488150848,2.8839891671114,7.84664367358431,140,43.8
"P5",104,"Radial",1,"Object 3",277,7298550,5.289411,3.075547,1,1.5163312803735,1.30740413950589,3.59844282083775,6.93989554416146,130,37.5
"P5",103,"Radial",1,"Object 3",277,7298550,5.289411,3.075547,2,1.96660322209732,1.75817131242027,4.20164283942143,6.63542360597771,120,36.5
"P5",106,"Radial",1,"Object 6",322,13068300,5.768431,3.49276,1,1.59306878130643,1.41762425087326,4.14411345621927,8.75240844015432,190,40.4
"P5",99,"Radial",1,"Object 6",322,13068300,5.768431,3.49276,2,4.02531823131226,1.93383435563942,17.4337428632452,7.43992937384264,160,43.9
"P5",102,"Radial",1,"Object 5",434,13068300,5.662616,3.767156,1,1.64045581414375,1.5567268721395,4.20477194919593,9.23941876413324,170,46.9
"P5",100,"Radial",1,"Object 5",434,13068300,5.662616,3.767156,2,1.48276953423668,1.4776994460117,4.56406727869428,6.54634778459028,200,42.1
"P5",92,"Radial",2,"Object 2",156,5791800,5.445371,2.954243,1,1.60838177083031,1.28794979946912,3.88221146409173,6.59674056742581,150,42
"P5",96,"Radial",2,"Object 2",156,5791800,5.445371,2.954243,2,1.68874107966966,1.69827631285124,4.13328542499549,8.61546029658843,140,43.2
"P5",89,"Radial",2,"Object 1",236,5791800,5.186108,3.507856,1,1.71799581315086,1.67219009715665,4.57855350682703,7.44974827872093,130,45.1
"P5",85,"Radial",2,"Object 1",236,5791800,5.186108,3.507856,2,1.88146954825537,1.29598598605782,7.62448278362719,7.7720010578628,140,38
"P5",86,"Radial",2,"Object 4",165,7298550,5.507546,2.819544,1,1.81874332539747,2.287620575305,3.21400982145742,8.76296100271524,160,40.6
"P5",87,"Radial",2,"Object 4",165,7298550,5.507546,2.819544,2,1.72704920170754,1.45555219894287,3.59587421085887,7.46024653438162,120,43.9
"P5",95,"Radial",2,"Object 3",277,7298550,5.289411,3.075547,1,1.54856717301065,1.47867772477562,6.33937532857281,8.61749705798855,150,42.8
"P5",94,"Radial",2,"Object 3",277,7298550,5.289411,3.075547,2,2.43396324571838,2.17227727474174,5.43261117418675,12.126913772667,160,44
"P5",93,"Radial",2,"Object 6",322,13068300,5.768431,3.49276,1,1.41535436848146,1.48179114204137,4.09293246824716,8.82469382235319,170,40.6
"P5",88,"Radial",2,"Object 6",322,13068300,5.768431,3.49276,2,1.76655918980889,1.69063963136664,5.20464526597182,9.90253923071234,200,49.8
"P5",90,"Radial",2,"Object 5",434,13068300,5.662616,3.767156,1,1.44913706414944,1.90380086516847,4.42716027311472,11.6073323369512,190,45.6
"P5",91,"Radial",2,"Object 5",434,13068300,5.662616,3.767156,2,1.67886314488101,1.85288466823619,5.27141720069854,9.82683479565176,180,47.8
"P6",71,"Ulnar",0,"Object 2",156,5791800,5.445371,2.954243,1,1.11403188848105,0.836371710983756,2.10772743184606,2.73457756588627,180,42.5
"P6",62,"Ulnar",0,"Object 2",156,5791800,5.445371,2.954243,2,1.07460128360756,0.774029155634622,3.09566354930225,2.73226829259536,140,47.8
"P6",61,"Ulnar",0,"Object 1",236,5791800,5.186108,3.507856,1,1.08763918937851,0.699433371219215,2.3480953368942,1.91141179685736,160,66.8
"P6",65,"Ulnar",0,"Object 1",236,5791800,5.186108,3.507856,2,1.09068370440687,0.737667348574321,2.68782227175605,1.62675529537776,185,47.1
"P6",72,"Ulnar",0,"Object 4",165,7298550,5.507546,2.819544,1,0.897996514070777,0.715506714837163,2.79639466745441,1.51500427178412,140,49.5
"P6",69,"Ulnar",0,"Object 4",165,7298550,5.507546,2.819544,2,1.02538608614763,0.766360655654986,2.81521305748045,1.67257869908516,160,43.8
"P6",68,"Ulnar",0,"Object 3",277,7298550,5.289411,3.075547,1,1.00313280284824,0.915539407554356,2.16941880236756,1.6203900160616,200,49.1
"P6",67,"Ulnar",0,"Object 3",277,7298550,5.289411,3.075547,2,1.14447429811963,0.781996356497714,4.63314419444017,2.01105369937272,285,50.7
"P6",70,"Ulnar",0,"Object 6",322,13068300,5.768431,3.49276,1,1.00569801599452,0.75772229477764,2.63555374572858,2.39563495158745,350,76.8
"P6",63,"Ulnar",0,"Object 6",322,13068300,5.768431,3.49276,2,1.17389864525474,0.91865717707062,2.59435338579231,2.08628012387623,435,72.1
"P6",66,"Ulnar",0,"Object 5",434,13068300,5.662616,3.767156,1,1.16220833755738,0.722968901527912,3.59858761930361,2.79622906828384,365,74.7
"P6",64,"Ulnar",0,"Object 5",434,13068300,5.662616,3.767156,2,0.989669602551036,0.726047571205935,2.34416207490849,1.60059785589948,415,66.8
"P6",37,"Ulnar",1,"Object 2",156,5791800,5.445371,2.954243,1,1.13978302135983,0.801132583888858,1.85081264042088,1.606889753,145,52
"P6",42,"Ulnar",1,"Object 2",156,5791800,5.445371,2.954243,2,1.2260497439875,0.893171613913781,1.82116087329764,1.55802060003975,140,41.4
"P6",39,"Ulnar",1,"Object 1",236,5791800,5.186108,3.507856,1,1.4880608901846,1.04715439520841,1.63292460033108,2.31846991040635,170,55.4
"P6",40,"Ulnar",1,"Object 1",236,5791800,5.186108,3.507856,2,1.04425540032187,0.902688243724582,4.78724975780679,1.82178086783952,140,52.3
"P6",41,"Ulnar",1,"Object 4",165,7298550,5.507546,2.819544,1,1.10306682023279,0.844049205193063,1.77414252142195,1.3926038718426,210,49.1
"P6",38,"Ulnar",1,"Object 4",165,7298550,5.507546,2.819544,2,1.41193365949519,0.826586427738599,3.36212601746717,1.47166435363592,230,54.4
"P6",44,"Ulnar",1,"Object 3",277,7298550,5.289411,3.075547,1,1.071150662129,0.8899938157165,1.95440858647983,1.48682631610087,178,54.1
"P6",46,"Ulnar",1,"Object 3",277,7298550,5.289411,3.075547,2,1.530876469401,0.922241818491103,2.07395754999287,1.96543313895961,160,45.3
"P6",43,"Ulnar",1,"Object 6",322,13068300,5.768431,3.49276,1,1.54681343269926,1.03135409484715,2.09091923569676,1.10958187692677,425,58.7
"P6",47,"Ulnar",1,"Object 6",322,13068300,5.768431,3.49276,2,1.43875787700314,1.22172480414896,4.9321045922801,1.4480354620336,360,71.2
"P6",45,"Ulnar",1,"Object 5",434,13068300,5.662616,3.767156,1,1.51603496299543,0.965702191663868,1.99350049704344,1.62303496500386,385,67.5
"P6",48,"Ulnar",1,"Object 5",434,13068300,5.662616,3.767156,2,1.48176859065158,0.910050366120455,2.27307845738475,1.59659864988086,430,61.6
"P6",56,"Ulnar",2,"Object 2",156,5791800,5.445371,2.954243,1,1.92276112924522,1.18656330034029,2.97493543017659,1.96335486166665,160,41
"P6",60,"Ulnar",2,"Object 2",156,5791800,5.445371,2.954243,2,1.9009254542828,1.34726080395033,2.09994838176645,2.36989832429335,180,39
"P6",53,"Ulnar",2,"Object 1",236,5791800,5.186108,3.507856,1,1.45775022903268,1.85409446775921,2.0938190443431,3.37883378463437,170,38.5
"P6",49,"Ulnar",2,"Object 1",236,5791800,5.186108,3.507856,2,1.66722692820913,1.17336420220972,2.87797610535431,2.39543893847257,150,36.6
"P6",50,"Ulnar",2,"Object 4",165,7298550,5.507546,2.819544,1,1.76495229471594,1.11418192767368,2.57505992955642,1.70330074180804,220,44.3
"P6",51,"Ulnar",2,"Object 4",165,7298550,5.507546,2.819544,2,1.94873700290353,1.13977244272897,4.10749291582394,2.50838009875604,130,61.7
